conversation_id,transcript,rule_id,rule_type,speaker,evaluation_type,n_messages,description,ground_truth
conv_013,"[{""msg"": ""Good morning! My name is Kevin, ShopDirect support. What can I help with?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700120000}, {""msg"": ""Hi, I have a 20% discount code but it keeps saying invalid at checkout."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700120030}, {""msg"": ""Let me look into that. Could you tell me the promo code?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700120060}, {""msg"": ""It's SAVE20."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700120090}, {""msg"": ""I can see SAVE20 in our system — it looks like it expired last Sunday. I can apply a one-time 20% discount directly to your next order as a goodwill gesture."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700120120}, {""msg"": ""Oh, that would be great. Thank you so much."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700120150}, {""msg"": ""Done! I've added a note to your account. Enjoy your shopping!"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700120180}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,No
conv_013,"[{""msg"": ""Good morning! My name is Kevin, ShopDirect support. What can I help with?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700120000}, {""msg"": ""Hi, I have a 20% discount code but it keeps saying invalid at checkout."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700120030}, {""msg"": ""Let me look into that. Could you tell me the promo code?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700120060}, {""msg"": ""It's SAVE20."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700120090}, {""msg"": ""I can see SAVE20 in our system — it looks like it expired last Sunday. I can apply a one-time 20% discount directly to your next order as a goodwill gesture."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700120120}, {""msg"": ""Oh, that would be great. Thank you so much."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700120150}, {""msg"": ""Done! I've added a note to your account. Enjoy your shopping!"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700120180}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,NA
conv_013,"[{""msg"": ""Good morning! My name is Kevin, ShopDirect support. What can I help with?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700120000}, {""msg"": ""Hi, I have a 20% discount code but it keeps saying invalid at checkout."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700120030}, {""msg"": ""Let me look into that. Could you tell me the promo code?"", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700120060}, {""msg"": ""It's SAVE20."", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700120090}, {""msg"": ""I can see SAVE20 in our system — it looks like it expired last Sunday. I can apply a one-time 20% discount directly to your next order as a goodwill gesture."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700120120}, {""msg"": ""Oh, that would be great. Thank you so much."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700120150}, {""msg"": ""Done! I've added a note to your account. Enjoy your shopping!"", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700120180}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,No
conv_014,"[{""msg"": ""Hello, this is Amy from ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700130000}, {""msg"": ""Hi, I need to change the delivery address for an order I just placed. Order number ORD-71924."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700130030}, {""msg"": ""I can try to help with that — address changes are only possible if the order hasn't been picked yet. Let me check the status."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700130060}, {""msg"": ""The order is still in processing, so we're in time. What's the new address?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700130090}, {""msg"": ""It's 14 Oak Street, Bristol, BS1 4LT."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700130120}, {""msg"": ""I've updated the delivery address to 14 Oak Street, Bristol, BS1 4LT. You'll get a confirmation email shortly. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700130150}, {""msg"": ""No, that's everything. Thanks Amy!"", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700130180}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,Yes
conv_014,"[{""msg"": ""Hello, this is Amy from ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700130000}, {""msg"": ""Hi, I need to change the delivery address for an order I just placed. Order number ORD-71924."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700130030}, {""msg"": ""I can try to help with that — address changes are only possible if the order hasn't been picked yet. Let me check the status."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700130060}, {""msg"": ""The order is still in processing, so we're in time. What's the new address?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700130090}, {""msg"": ""It's 14 Oak Street, Bristol, BS1 4LT."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700130120}, {""msg"": ""I've updated the delivery address to 14 Oak Street, Bristol, BS1 4LT. You'll get a confirmation email shortly. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700130150}, {""msg"": ""No, that's everything. Thanks Amy!"", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700130180}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,Yes
conv_014,"[{""msg"": ""Hello, this is Amy from ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700130000}, {""msg"": ""Hi, I need to change the delivery address for an order I just placed. Order number ORD-71924."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700130030}, {""msg"": ""I can try to help with that — address changes are only possible if the order hasn't been picked yet. Let me check the status."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700130060}, {""msg"": ""The order is still in processing, so we're in time. What's the new address?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700130090}, {""msg"": ""It's 14 Oak Street, Bristol, BS1 4LT."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700130120}, {""msg"": ""I've updated the delivery address to 14 Oak Street, Bristol, BS1 4LT. You'll get a confirmation email shortly. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700130150}, {""msg"": ""No, that's everything. Thanks Amy!"", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700130180}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,No
conv_014,"[{""msg"": ""Hello, this is Amy from ShopDirect. How can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700130000}, {""msg"": ""Hi, I need to change the delivery address for an order I just placed. Order number ORD-71924."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700130030}, {""msg"": ""I can try to help with that — address changes are only possible if the order hasn't been picked yet. Let me check the status."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700130060}, {""msg"": ""The order is still in processing, so we're in time. What's the new address?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700130090}, {""msg"": ""It's 14 Oak Street, Bristol, BS1 4LT."", ""messageId"": 5, ""speaker"": ""customer"", ""timestamp"": 1700130120}, {""msg"": ""I've updated the delivery address to 14 Oak Street, Bristol, BS1 4LT. You'll get a confirmation email shortly. Is there anything else I can help you with today?"", ""messageId"": 6, ""speaker"": ""agent"", ""timestamp"": 1700130150}, {""msg"": ""No, that's everything. Thanks Amy!"", ""messageId"": 7, ""speaker"": ""customer"", ""timestamp"": 1700130180}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,Yes
conv_015,"[{""msg"": ""ShopDirect support, how can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700140000}, {""msg"": ""Hi, do you accept PayPal at checkout?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700140030}, {""msg"": ""Yes, we accept PayPal along with Visa, Mastercard, Amex, and Apple Pay."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700140060}, {""msg"": ""What about buy now pay later?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700140090}, {""msg"": ""We partner with Klarna so you can split payments over 3 or 6 months with no interest."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700140120}, {""msg"": ""Perfect, that's all I needed. Goodbye."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700140150}, {""msg"": ""Goodbye! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700140180}]",rule_answer_1,answer,agent,first,2,The agent greeted the customer warmly,No
conv_015,"[{""msg"": ""ShopDirect support, how can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700140000}, {""msg"": ""Hi, do you accept PayPal at checkout?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700140030}, {""msg"": ""Yes, we accept PayPal along with Visa, Mastercard, Amex, and Apple Pay."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700140060}, {""msg"": ""What about buy now pay later?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700140090}, {""msg"": ""We partner with Klarna so you can split payments over 3 or 6 months with no interest."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700140120}, {""msg"": ""Perfect, that's all I needed. Goodbye."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700140150}, {""msg"": ""Goodbye! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700140180}]",rule_trigger_2,trigger,customer,entire,0,The customer had a specific request,No
conv_015,"[{""msg"": ""ShopDirect support, how can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700140000}, {""msg"": ""Hi, do you accept PayPal at checkout?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700140030}, {""msg"": ""Yes, we accept PayPal along with Visa, Mastercard, Amex, and Apple Pay."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700140060}, {""msg"": ""What about buy now pay later?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700140090}, {""msg"": ""We partner with Klarna so you can split payments over 3 or 6 months with no interest."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700140120}, {""msg"": ""Perfect, that's all I needed. Goodbye."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700140150}, {""msg"": ""Goodbye! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700140180}]",rule_answer_2,answer,agent,entire,0,The agent confirmed the customer's details,NA
conv_015,"[{""msg"": ""ShopDirect support, how can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700140000}, {""msg"": ""Hi, do you accept PayPal at checkout?"", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700140030}, {""msg"": ""Yes, we accept PayPal along with Visa, Mastercard, Amex, and Apple Pay."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700140060}, {""msg"": ""What about buy now pay later?"", ""messageId"": 4, ""speaker"": ""customer"", ""timestamp"": 1700140090}, {""msg"": ""We partner with Klarna so you can split payments over 3 or 6 months with no interest."", ""messageId"": 5, ""speaker"": ""agent"", ""timestamp"": 1700140120}, {""msg"": ""Perfect, that's all I needed. Goodbye."", ""messageId"": 6, ""speaker"": ""customer"", ""timestamp"": 1700140150}, {""msg"": ""Goodbye! Have a great day."", ""messageId"": 7, ""speaker"": ""agent"", ""timestamp"": 1700140180}]",rule_answer_3,answer,agent,last,2,The call was wrapped up properly,No
